Companies,Roles,Location,Posted,Applications,Links
Wise,Data Science Internship,"London, UK",31-Jan,https://boards.greenhouse.io/transferwise/jobs/5661586?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/579154d3-6854-4172-9988-03396692afb9?utm_source=GHList
UDisc,2024 Data Science Intern,"Minneapolis, MN",31-Jan,https://jobs.ashbyhq.com/udisc/4f19cb35-c3ab-46a4-964a-df1f5e5320f4/application?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/46079351-775b-4136-bd11-d73043b2a620?utm_source=GHList
NVIDIA,Finance Data Science Intern - Summer 2024,"Santa Clara, CA",31-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Finance-Data-Science-Intern---Summer-2024_JR1979186-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/fdd0844c-ec7f-449e-aaf9-ffc52f55e68a?utm_source=GHList
Kodiak Robotics,Summer 2024 Intern - Data Science,"Mountain View, CA",30-Jan,https://jobs.lever.co/kodiak/64b09d02-4ab6-4c47-a4e4-189b0c07f346/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/eafb5cd2-430e-4e12-b59d-672da2191ac9?utm_source=GHList
Expedia,Data Science – Analytics Intern - London,"London, UK",30-Jan,https://expedia.wd5.myworkdayjobs.com/search/job/UK---London/Data-Science--Analytics-Intern---London_R-86127?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/bcda1265-2228-4ed9-96c0-d379f5c749b6?utm_source=GHList
Moloco,Machine Learning Engineer Intern,United States,29-Jan,https://boards.greenhouse.io/moloco/jobs/5870560003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a7781ca5-0d22-4a17-a592-84ec206da31e?utm_source=GHList
Kargo,Intern – Data Analytics,NYC,29-Jan,https://www.kargo.com/careers?gh_jid=4224185007&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/de14990f-7aa7-49ce-aec8-031330527fd1?utm_source=GHList
Hugging Face,Machine Learning Engineer Internship - LLM Evaluation - Remote,Remote,29-Jan,https://apply.workable.com/huggingface/j/220C5FF1A3/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/d6c69999-2655-4edf-9569-22d3d6cffa6b?utm_source=GHList
Hugging Face,Machine Learning Engineer Internship - LLM Evaluation - US Remote,Remote in USA</br>United States,29-Jan,https://apply.workable.com/huggingface/j/A3964F5B7F/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/6fbc5b2e-da7f-4212-869a-1265d3da6dbd?utm_source=GHList
NVIDIA,Datacenter Product Validation Intern - Summer 2024,"Santa Clara, CA</br>Hillsboro, OR",26-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Datacenter-Product-Validation-Intern---Summer-2024_JR1975337?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/acdefc56-688c-4338-9055-1ab2518d7536?utm_source=GHList
Addepar,Software Engineer Intern - Data Science / ADM - US,Remote in USA,25-Jan,https://boards.greenhouse.io/addepar1/jobs/7110336002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/20f8dc89-e99f-43a0-ab8e-8faaab0acc09?utm_source=GHList
Addepar,Software Engineer Intern - Data Architecture - Edi,"Edinburgh, UK",25-Jan,https://boards.greenhouse.io/addepar1/jobs/7107035002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7222bd03-0f6b-4df5-beb8-6bed81ee1559?utm_source=GHList
Seismic,Data Science/Machine Learning Engineer Intern - Summer 2024,"San Diego, CA",24-Jan,https://seismic.com/company/careers/job-detail/?gh_jid=5063812004&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/4f42779a-9042-45be-aeda-cdcfeb582968?utm_source=GHList
Tempus,Data Security Summer Analyst,"Chicago, IL",23-Jan,https://boards.greenhouse.io/embed/job_app?token=7108034002&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/19c57e03-6caf-4749-963a-83055b0cac03?utm_source=GHList
Intel,Undergraduate Technical Intern - Data Center,"Albuquerque, NM",23-Jan,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-New-Mexico-Albuquerque/Undergraduate-Technical-Intern--Data-Center-_JR0255721?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f33d05a1-b90a-4c05-a2d6-084442ad18cf?utm_source=GHList
ExodusPoint,Data Science Intern,"Ardmore, PA",23-Jan,https://boards.greenhouse.io/exoduspoint/jobs/7108071002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/405dc370-0c78-4392-910f-b92e23c3b00f?utm_source=GHList
Critical Mass,Marketing Science Intern,"Calgary, AB, Canada",23-Jan,https://boards.greenhouse.io/criticalmass/jobs/5626707?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ebf9d09e-aa54-458f-96b6-71bfbbdb046a?utm_source=GHList
Hewlett Packard (HP),Data Science – Generative AI Intern Summer 2024,"Spring, TX",22-Jan,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Spring-Texas-United-States-of-America/Data-Science---Generative-AI--Intern-Summer-2024_3128574-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/883fc88a-67a3-45b5-ba13-fc1f3fb34b2c?utm_source=GHList
Cadence Design Systems,Software Engineering Intern - ML Algorithms - Summer 2024,"San Jose, CA",22-Jan,https://cadence.wd1.myworkdayjobs.com/en-US/External_Careers/job/SAN-JOSE/Software-Engineering-Intern---ML-Algorithms--Summer-2024-_R45349-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/205be939-1d30-42e7-8fa3-308f01c85ce2?utm_source=GHList
Salesforce,Summer 2024 Intern - Tax Data Analyst,"Seattle, WA</br>SF",19-Jan,https://salesforce.wd12.myworkdayjobs.com/en-us/External_Career_Site/job/California---San-Francisco/Summer-2024-Intern---Tax-Data-Analyst_JR236561?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/64ebbddd-c35b-415b-a354-9a38b7c080d1?utm_source=GHList
Yext,2024 Site Reliability Database Intern,NYC,18-Jan,https://boards.greenhouse.io/yext/jobs/5601993?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/4fcec8fb-0e68-4816-9a33-ecea90ee6011?utm_source=GHList
NVIDIA,NVIDIA Summer 2024 Internships: Software Engineering Intern,"Remote in USA</br>Santa Clara, CA",17-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-Summer-2024-Internships--Software-Engineering-Intern_JR1978476?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ac4b5a57-cc23-4228-a401-63a157b452d4?utm_source=GHList
NVIDIA,NVIDIA Summer 2024 Internships: Hardware Engineering Intern,"Remote in USA</br>Santa Clara, CA",17-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-Summer-2024-Internships--Hardware-Engineering-Intern_JR1978471-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e4799349-2be3-4d1f-a76f-4be6f245c528?utm_source=GHList
NVIDIA,NVIDIA Summer 2024 Internships: Computer Architecture Intern,"Remote in USA</br>Santa Clara, CA",17-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-Summer-2024-Internships--Computer-Architecture-Intern_JR1978478-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/47c1e071-4d16-49b3-8565-8ac6bda76145?utm_source=GHList
Voya Financial,Summer 2024 Data Science Intern - Remote,Remote in USA,16-Jan,https://godirect.wd5.myworkdayjobs.com/voya_jobs/job/United-States-Remote/Summer-2024-Data-Science-Intern---Remote_JR0028724?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/971cbae5-59d5-4c1d-a78f-3c5c8d506518?utm_source=GHList
NVIDIA,NVIDIA Summer 2024 Internships: System Software Intern,"Remote in USA</br>Santa Clara, CA",16-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-Summer-2024-Internships--System-Software-Intern_JR1978483?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/15164c21-c847-47c4-bcec-c8267f10526f?utm_source=GHList
NVIDIA,NVIDIA Summer 2024 Internships: Artificial Intelligence Intern,"Remote in USA</br>Santa Clara, CA",16-Jan,https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-Summer-2024-Internships--Artificial-Intelligence-Intern_JR1978482?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e05d11cc-852e-41c1-8686-547c01960a92?utm_source=GHList
MyFitnessPal,Machine Learning – Intern - Computer Vision - Summer 2024,Remote in USA,16-Jan,https://boards.greenhouse.io/myfitnesspal/jobs/5616597?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/3a54ea10-f9e8-4fdd-9af7-53b1f162faeb?utm_source=GHList
GRAIL,Software Engineering Intern - Data Platform,"Menlo Park, CA",16-Jan,https://jobs.lever.co/grailbio/1d4ed43e-0944-450f-8765-fb818980e2ab/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/6c13bd20-843d-47d1-ac9f-0aba1e7d0982?utm_source=GHList
GRAIL,Generative AI Innovation Intern,"Menlo Park, CA",16-Jan,https://jobs.lever.co/grailbio/c7860d1d-294b-40ee-bb47-4bf3c72fdf93/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f8dbdb06-30be-428b-b3bc-dcf49d0d5d68?utm_source=GHList
Cohere,Machine Learning Intern/Co-op - Summer 2024,"Toronto, ON, Canada",15-Jan,https://jobs.lever.co/cohere/9ee0ada0-7738-461c-bc46-253ed8ebb0af/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/3056d336-dc63-4eea-a8af-87df3cfcf2f9?utm_source=GHList
AbelsonTaylor,Data Science Intern,"Chicago, IL",12-Jan,https://boards.greenhouse.io/abelsontaylor/jobs/4322044006?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f86cdf5b-ee2a-4948-ab09-7832fdd4c841?utm_source=GHList
Hewlett Packard (HP),Data Engineering Intern,"Vancouver, WA",11-Jan,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Vancouver-Washington-United-States-of-America/Data-Engineering-Intern_3128687-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ea3d39f1-0c50-4d5b-8949-d52f7c6c4870?utm_source=GHList
Workiva,2024 Summer – Data Science Intern,Remote in USA,9-Jan,https://workiva.wd1.myworkdayjobs.com/careers/job/USA---Remote/XMLNAME-2024-Summer---Data-Science-Intern_R7503?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/391229d7-306e-40b4-9a1a-3916b2e8888b?utm_source=GHList
Intel,Undergraduate Internship - Data Science - Bachelors,"<details><summary>**7 locations**</summary>Austin, TX</br>Albuquerque, NM</br>Santa Clara, CA</br>Hillsboro, OR</br>Folsom, CA</br>Phoenix, AZ</br>Atlanta, GA</details>",9-Jan,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Arizona-Phoenix/Undergraduate-Internship---Data-Science---Bachelors-_JR0255511?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ae09b49c-97cd-4b8a-b61e-182c309d6682?utm_source=GHList
Exiger,Data Analyst Internship,"Richmond, VA",9-Jan,https://www.exiger.com/careers/5044845004?gh_jid=5044845004&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/729744bc-845d-4f16-a5e8-3dc95f14950b?utm_source=GHList
Marco Technologies,Data Analyst Intern,"St Cloud, MN",5-Jan,https://jobs.lever.co/marco/4487535c-6480-4ad4-afd2-b837fe953130/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/bb842d18-b3b2-4530-9f37-4505db8d6b5b?utm_source=GHList
MasterControl,Data Analyst Intern,"Salt Lake City, UT",4-Jan,https://www.mastercontrol.com/careers/job-listings/role/?role=4354178005&gh_jid=4354178005&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f66257ff-7f38-4c63-b167-82fc44d043bc?utm_source=GHList
