Company,Role,Location,Terms,Date Posted,Application,link
Critical Mass,Marketing Science Intern,"Calgary, AB, Canada","Spring 2024, Summer 2024",Jan 23,https://boards.greenhouse.io/criticalmass/jobs/5626707?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ebf9d09e-aa54-458f-96b6-71bfbbdb046a?utm_source=GHList
Critical Mass,Development Intern,"London, UK","Spring 2024, Summer 2024",Jan 23,https://boards.greenhouse.io/criticalmass/jobs/5630556?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f90f3108-4aed-4e1d-b7f4-f3286a0e03e8?utm_source=GHList
Critical Mass,Development Intern,"Calgary, AB, Canada","Spring 2024, Summer 2024",Jan 23,https://boards.greenhouse.io/criticalmass/jobs/5629860?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c4e52b8e-4b97-4b73-b2b7-bf1b04c609f2?utm_source=GHList
Kinaxis,Co-Op/Intern Software Engineer - AI Platform,Canada,Spring 2024,Jan 22,https://boards.greenhouse.io/kinaxis/jobs/7106603002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7ff78a2c-0dd1-4eaf-a163-54aa6127c855?utm_source=GHList
Addepar,Software Engineer Intern - Reporting,Remote in USA,"Spring 2024, Summer 2024",Jan 22,https://boards.greenhouse.io/addepar1/jobs/7104343002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/b175832b-2a48-452f-82de-e63db64be794?utm_source=GHList
Addepar,Software Engineer Intern - Analysis Workflows,Remote in USA,"Spring 2024, Summer 2024",Jan 22,https://boards.greenhouse.io/addepar1/jobs/7104328002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/d3049ee5-3fa4-4df1-b544-53773cdbb679?utm_source=GHList
Waystar,Application Engineer Co-Op - Summer or Fall of 2024,"Atlanta, GA","Summer 2024, Fall 2024",Jan 19,https://waystar.wd1.myworkdayjobs.com/Waystar/job/Atlanta/Application-Engineer-Co-Op---Summer-or-Fall-of-2024_R1850?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ab224209-580a-4e61-a250-cc08564203cb?utm_source=GHList
F5,Site Relability Engineering Intern - San Jose,"San Jose, CA","Winter 2024, Spring 2024",Jan 17,https://ffive.wd5.myworkdayjobs.com/en-US/f5jobs/job/San-Jose/Site-Relability-Engineering-Intern--San-Jose-_RP1029837-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7beead5f-372a-48be-b56d-8651a2a070c9?utm_source=GHList
D2L,Product Support Analyst Spring 2024 Co-op,"Kitchener, ON, Canada",Spring 2024,Jan 17,https://www.d2l.com/careers/jobs/?job_id=5626061&gh_jid=5626061&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c204262c-d528-4565-8789-561d5fd13896?utm_source=GHList
Symbotic,Co-op – Fall - Software Engineer - Applications,"Burlington, MA",Fall 2024,Jan 15,https://symbotic.wd1.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/Co-op--Fall---Software-Engineer--Applications-_R3003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c9dad575-dd98-46b9-9bae-70b84cedd251?utm_source=GHList
Symbotic,Co-op – Fall - Software Engineer - Platform Services,"Burlington, MA",Fall 2024,Jan 15,https://symbotic.wd1.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/Co-op--Fall---Software-Engineer--Platform-Services-_R3006?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f2ed2923-f0af-449c-866c-62aab42b66fd?utm_source=GHList
F5,Software Engineering Intern - San Jose,"San Jose, CA","Spring 2024, Fall 2024",Jan 12,https://ffive.wd5.myworkdayjobs.com/en-US/f5jobs/job/San-Jose/Software-Engineering-Intern--San-Jose-_RP1029825?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/518f0ad0-b22c-4460-8391-205894630403?utm_source=GHList
Sleeper,Product Design Intern - 2024,"Seattle, WA",Spring 2024,Jan 11,https://jobs.ashbyhq.com/sleeper/55273416-24fb-4025-85ef-c9dd5df7265e/application?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/874b74f3-1bc0-43a0-8944-e69779b9d382?utm_source=GHList
Sleeper,Machine Learning Engineering Intern 🛂,"NYC, NY</br>Toronto, CA","Spring 2024, Summer 2024",Jan 11,https://jobs.ashbyhq.com/GPTZero/d7e6f3ee-8446-4ac4-b1f8-e79c9876c31a?utm_source=Simplify&ref=Simplify,
Rockwell Automation,Co-op – Software Engineering,"Milwaukee, WI","Spring 2024, Summer 2024, Fall 2024, Winter 2025",Jan 10,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External_Rockwell_Automation/job/United-States-of-America-Milwaukee-South-2nd-Street/Co-op--Software-Engineering_R23-12737-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/8b65cdf6-e4f7-4c79-ab87-3e70ec07bd24?utm_source=GHList
Kinaxis,Co-Op/Intern Developer - Analytics Engine - Developer Framework,Canada,Spring 2024,Jan 10,https://boards.greenhouse.io/kinaxis/jobs/7090516002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e601660a-8727-4f37-93da-25b4857a3674?utm_source=GHList
Kinaxis,Software Engineering Intern 🛂,"NYC, NY</br>Toronto, CA","Spring 2024, Summer 2024",Jan 10,https://jobs.ashbyhq.com/GPTZero/e1f12af2-d017-4fca-a9af-99431d989d53?utm_source=Simplify&ref=Simplify,
The Boring Company,Software Engineering Intern - Winter/Spring 2024,"Bastrop, TX","Winter 2024, Spring 2024",Jan 04,https://jobs.lever.co/boringcompany/76b5979f-ffb6-4b59-b639-7adb2237c068/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a4ef2f82-6586-42b5-ac39-2e83618d1d46?utm_source=GHList
Flipp,Data Engineer Intern,Remote,Spring 2024,Jan 04,https://corp.flipp.com/job-openings/?gh_jid=5475373&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ada0351d-3f61-451c-ac5c-705136ad995b?utm_source=GHList
Plexus,Intern – Software Engineer - Spring 2025,"Neenah, WI",Spring 2025,Jan 03,https://plexus.wd5.myworkdayjobs.com/en-US/Plexus_Careers/job/Neenah-WI/Intern---Software-Engineer---Spring-2025_R028066-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e240cf11-8108-45ce-9a2e-4717e8a1fa68?utm_source=GHList
Plexus,Jr. Software Development Engineer Intern,"New York, NY","Summer 2024, Fall 2024",Jan 03,https://www.amazon.jobs/en/jobs/2495700/jr-software-development-engineer?cmpid=JB_INOP301245B?mode=job&iis=Job+Posting&iisn=Indeed+(Free+Posting)&utm_source=Simplify&ref=Simplify,
