"Company","Role","Location","Application/Link","Date Posted"
"**[SoundCloud](https://simplify.jobs/c/SoundCloud)**","Finance Data Analyst Intern","NYC","<a href="https://boards.greenhouse.io/soundcloud71/jobs/7288613002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e7588977-ead9-4205-9b02-b60c66076aed?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 15"
"**[Intel](https://simplify.jobs/c/Intel)**","UI Software Engineer Intern","Remote in USA","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/Virtual-US/UI-Software-Engineer-Intern_JR0260124?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/6e685f30-0856-4000-b755-20309950086a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 15"
"**[First American](https://simplify.jobs/c/First-American)**","Infosec Application Security Intern - Undergrad - Hybrid","Orange, CA","<a href="https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/InfoSec-Application-Security-Intern---Undergrad--Hybrid-_R043714?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/0f11d96f-b126-48cd-ab83-845ccdfec283?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 15"
"**[Schonfeld](https://simplify.jobs/c/Schonfeld)**","2024 Software Developer – Sophomore Summer Internship - Global Operations Technology","NYC","<a href="https://boards.greenhouse.io/schonfeld/jobs/5814637?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/3be565e4-8a0e-4f75-aff1-623e8637854a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 14"
"↳","2024 Sector Data Analyst Sophomore Summer Internship","NYC","<a href="https://boards.greenhouse.io/schonfeld/jobs/5814704?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/a02ebf2c-063b-4bbf-8149-47edff114241?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 14"
"↳","2024 Software Developer – Sophomore Summer Internship - Accounting and Valuations Technology","NYC","<a href="https://boards.greenhouse.io/schonfeld/jobs/5814143?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/51f16290-7167-45d8-a27b-65c833da4856?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 14"
"**[Visa](https://simplify.jobs/c/Visa)**","Software Test Engineer – Intern - Cybersecurity","Austin, TX","<a href="https://jobs.smartrecruiters.com/Visa/743999973715683?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/788ace7c-402b-4a61-afb1-e8d0778748ec?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Skydio](https://simplify.jobs/c/Skydio)**","Wireless Software Engineer Intern","San Mateo, CA","<a href="https://www.skydio.com/jobs/5920539003?gh_jid=5920539003&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/63c973ca-50e4-4917-911b-1089b021c0f8?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Schonfeld](https://simplify.jobs/c/Schonfeld)**","2024 Software Developer – Sophomore Summer Internship - Treasury","NYC","<a href="https://boards.greenhouse.io/schonfeld/jobs/5805647?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8e2e160c-a5cb-4b9c-aecf-539a9eeca672?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Lacework](https://simplify.jobs/c/Lacework)**","Security Research Intern","United States","<a href="https://www.lacework.com/job-openings?gh_jid=5128649004&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/92c5e691-3e2a-44d7-9e0d-6ed2b6f56eb5?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Intel](https://simplify.jobs/c/Intel)**","AI Software Engineering Undergraduate Intern","Remote in USA","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/Virtual-US/AI-Software-Engineering-Undergraduate-Intern_JR0259501-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/9bc6a556-df57-470d-ba40-615be35647e0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Hewlett Packard (HP)](https://simplify.jobs/c/Hewlett-Packard)**","Software Intern","Vancouver, WA","<a href="https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Vancouver-Washington-United-States-of-America/Software-Intern_UNIV683?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c6ac8e25-c7f7-442c-9f51-97304bcbd060?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Cadence Design Systems](https://simplify.jobs/c/Cadence-Design-Systems)**","Intern – Software Engineering","San Jose, CA","<a href="https://cadence.wd1.myworkdayjobs.com/en-US/External_Careers/job/SAN-JOSE/Intern---Software-Engineering_R45976-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/48226546-6f2d-4b76-b085-8a65fab2c703?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"↳","Data Analyst Intern - Marketing","San Jose, CA","<a href="https://cadence.wd1.myworkdayjobs.com/en-US/External_Careers/job/SAN-JOSE/Data-Analyst-Intern---Marketing_R45961-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/09061568-f071-4c76-b94d-c1dd9d4bc5a6?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Arcellx](https://simplify.jobs/c/Arcellx)**","Data Analytics Intern","San Carlos, CA","<a href="https://boards.greenhouse.io/arcellx/jobs/4389822005?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/d372e7e9-9670-4496-bde4-b0a020752bac?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"↳","Data Systems and Analytics Intern","North Bethesda, MD","<a href="https://boards.greenhouse.io/arcellx/jobs/4389510005?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/ed4e1805-dac3-4e7d-b364-8980b66f5403?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 13"
"**[Smarsh](https://simplify.jobs/c/Smarsh)**","Software Engineer intern","Remote","<a href="https://jobs.lever.co/smarsh/0e5756dd-a2ce-49a0-9434-244c602e1956/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/ef02dde7-711f-4bab-a431-39996fed09bb?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 12"
"**[SharkNinja](https://simplify.jobs/c/SharkNinja)**","Summer – SQA Test Automation Engineer Intern: May to August 2024","Needham, MA","<a href="https://www.sharkninja.com/careers/?gh_jid=4340048006&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e866576a-377d-48c8-bc4d-47a787af4eb4?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 12"
"**[Recorded Future](https://simplify.jobs/c/Recorded-Future)**","Data Engineering Intern - Python & ETL Pipelines","Cambridge, MA","<a href="https://boards.greenhouse.io/recordedfuture/jobs/7275861002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c585d343-67f3-4af3-9c55-ed26c06bad3b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 12"
"↳","Software Engineer Intern - Data Pipelines","Cambridge, MA","<a href="https://boards.greenhouse.io/recordedfuture/jobs/7275867002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/85c85440-0628-42ff-b385-9da8a6038254?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 12"
"**[Live Nation Entertainment](https://simplify.jobs/c/Live-Nation-Entertainment)**","Data Engineering Intern","LA</br>Remote in USA</br>Phoenix, AZ","<a href="https://livenation.wd1.myworkdayjobs.com/en-US/LNExternalSite/job/Phoenix-AZ-USA/Data-Engineering-Intern_JR-66745-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/7ea85918-4bf9-41cd-9e84-2e0b7f6020be?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 12"
"**[Five9](https://simplify.jobs/c/Five9)**","2024 PS Software Development Engineer Intern","San Ramon, CA","<a href="https://www.five9.com/about/careers/job-detail?gh_jid=5128565004&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/395fc7e8-252e-4196-b693-31b5587c2715?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 12"
"**[EarnIn](https://simplify.jobs/c/Earnin)**","Product Analytics Intern","Palo Alto, CA","<a href="https://boards.greenhouse.io/earnin/jobs/5796028?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/4287c37f-4749-44bf-ab96-209a775728d1?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 11"
"**[Ripple](https://simplify.jobs/c/Ripple)**","Quantitative Trading Intern","London, UK","<a href="https://ripple.com/careers/all-jobs/job/5670282?gh_jid=5670282&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/1a526b18-70c6-4a97-ac70-5d42fb5da30e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 08"
"**[Leidos](https://simplify.jobs/c/Leidos)**","Program Manager Intern","Arlington, VA","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Arlington-VA/Program-Manager-Intern_R-00130705?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/ffee72e9-d3bb-42b8-9e6b-6b4c71b0097e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 08"
"**[IPG DXTRA](https://simplify.jobs/c/IPG-DXTRA)**","Strategy & Analytics Intern - New York","NYC","<a href="https://boards.greenhouse.io/dxacirca/jobs/7278068002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2376a909-03bd-475d-af71-11e6cb94fd15?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 08"
"**[Five9](https://simplify.jobs/c/Five9)**","Engineering Intern","San Ramon, CA","<a href="https://www.five9.com/about/careers/job-detail?gh_jid=5120531004&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/3b3687bd-e134-42d0-8f25-24bf030521ec?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 08"
"**[Cohere Health](https://simplify.jobs/c/897d9f54-64bb-4399-a926-10ea9a114bdd)**","SWE CO-Op – Security - June - Nov 2024","United States","<a href="https://boards.greenhouse.io/coherehealth/jobs/5914693003?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2fef116b-faac-487f-84d4-ac5c826275aa?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 08"
"**[Visa](https://simplify.jobs/c/Visa)**","Software Engineer – Intern - Summer 2024","Austin, TX","<a href="https://jobs.smartrecruiters.com/Visa/743999972605824?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/26ac6d46-4b49-4636-9a8a-e40e54fce4a3?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 07"
"**[Visa](https://simplify.jobs/c/Visa)**","Software Engineer – Intern - Summer 2024","Bellevue, WA","<a href="https://jobs.smartrecruiters.com/Visa/743999971543963?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/be56d83e-d958-4703-a7dc-0aa2ca176d7b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 06"
"**[Truveta](https://simplify.jobs/c/Truveta)**","Undergraduate Engineering Internship","Seattle, WA","<a href="https://boards.greenhouse.io/truveta/jobs/5069430004?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/f5ec4e90-c8d6-485e-aa69-6c03cb5fb2a7?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 06"
"**[Curai](https://simplify.jobs/c/Curai)**","AI – Data Engineering Intern","Remote in USA","<a href="https://jobs.lever.co/curai/9f669138-e676-4a70-b10f-51e4e72a33e2/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/d38702db-c0b2-47d6-bc36-58cbd934445c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 06"
"**[Visa](https://simplify.jobs/c/Visa)**","Software Engineer – Intern - Summer 2024","Highlands Ranch, CO","<a href="https://jobs.smartrecruiters.com/Visa/743999971543683?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/9d956bd4-7e7d-4f0a-8487-bea9c075fb1b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 05"
"**[Arrowhead Pharmaceuticals](https://simplify.jobs/c/9e9f38bd-61ae-4e46-874b-cd79bc02181e)**","Summer Intern - Web Designer","Pasadena, CA","<a href="https://arrowheadpharma.com/careers/?gh_jid=4277658007&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/da48bafd-2919-45dd-b164-2fa0ab082a55?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 05"
"**[UserTesting](https://simplify.jobs/c/UserTesting)**","Software Developer Intern","Edinburgh, UK","<a href="https://www.usertesting.com/company/careers/jobs?gh_jid=5903654003&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/b348ffda-e27d-45fe-85ad-01ddae008cde?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 04"
"↳","Software Engineer Intern","Edinburgh, UK","<a href="https://www.usertesting.com/company/careers/jobs?gh_jid=5904305003&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/654eab9a-5027-4cf3-8c32-72d254e06336?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 04"
"**[Five9](https://simplify.jobs/c/Five9)**","2024 Security Software Engineer Intern","San Ramon, CA","<a href="https://www.five9.com/about/careers/job-detail?gh_jid=5116728004&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/f195478d-8a37-4ade-9080-5f3ef9ed3ffb?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 04"
"**[Astera Labs](https://simplify.jobs/c/AsteraLabs)**","Product Applications Engineer – Internship","Vancouver, BC, Canada","<a href="https://boards.greenhouse.io/asteralabs/jobs/4145523005?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/a740fe64-6c21-43a5-8e6d-7b106f044ff5?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 04"
"**[Roku](https://simplify.jobs/c/Roku)**","Software Engineer Intern - Developer Experience","Cambridge, UK","<a href="https://www.weareroku.com/jobs/5771844?gh_jid=5771844&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/624b7d04-662d-4337-ba54-218e9593f830?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Mar 01"
