"Company","Role","Location","Application/Link","Date Posted"
"↳","Software Development Intern/ Stagiaire en développement de logiciel","Montreal, QC, Canada","<a href="https://jobs.lever.co/wisk/71453aff-be85-47dd-baac-14c6db943064/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/92d34811-0c36-478b-859f-4e5d78b5a59f?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"↳","Simulation Software Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/0c238c16-e344-400f-b068-658d816171d9/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/71883b03-2e00-45e1-84e0-2859f6f82baa?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"↳","Loads & Dynamics Engineer Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/67eb2c2c-4d8b-4bf5-930f-89aaee015347/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/4e65a3b2-3687-4474-97d0-792bb9b1a671?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"↳","Flight Test Engineering Software Intern","Mountain View, CA","<a href="https://jobs.lever.co/wisk/317a2673-65bd-420b-a11d-b2374471d86b/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/f1acb99c-9e4f-49d8-8ea0-356d5a764dc0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[SharkNinja](https://simplify.jobs/c/SharkNinja)**","Summer – App Developer Test Engineer Intern: May to August 2024","Needham, MA","<a href="https://www.sharkninja.com/careers-application/?gh_jid=4333708006&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2e1aeda3-fc76-403f-9210-4984b8bd4a81?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[Rivian](https://simplify.jobs/c/Rivian)**","Engineering Intern - Software Systems","Palo Alto, CA","<a href="https://careers.rivian.com/jobs/16057?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/43e43be3-189c-46cb-8d75-290ca09ba896?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[Qualitest](https://simplify.jobs/c/b308e19e-a1b4-44d7-9536-7f294d8fb938)**","AI & ML Intern","Remote in USA</br>United States","<a href="https://apply.workable.com/qualitest-1/j/F78DE615A7/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/071efdc3-11cd-4d4e-8c2c-2b5f36997326?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"↳","Software Developer Intern","Remote in USA</br>United States","<a href="https://apply.workable.com/qualitest-1/j/A3A0BF4583/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/32e65303-f179-4dce-8bc9-73fc54d0c38e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[Leidos](https://simplify.jobs/c/Leidos)**","Software Engineering Intern","Beavercreek, OH","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Beavercreek-OH/Software-Engineering-Intern_R-00129002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/4075ca38-c128-478a-a205-277f0f405836?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[First American](https://simplify.jobs/c/First-American)**","Data Management Intern","Orange, CA","<a href="https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/Data-Management-Intern_R043234-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/3538cb09-69e3-43f3-bb05-203d8bf6c434?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[CannonDesign](https://simplify.jobs/c/Cannon-Design)**","Consulting Intern","Remote in USA","<a href="http://www.cannondesign.com/careers/?gh_jid=7119713002&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8c31f624-93b3-490c-b0f4-2f8fac6171e0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[CACI](https://simplify.jobs/c/CACI)**","Software Engineer Intern - Summer 2024","Remote in USA","<a href="https://caci.wd1.myworkdayjobs.com/External/job/US-IN-Crane/Software-Engineer-Intern---Summer-2024_292742-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/cd49acf2-4004-4ab8-bef4-c1eca3a23db0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"↳","UAV Swarm Development Intern - Summer 2024","Aberdeen, MD","<a href="https://caci.wd1.myworkdayjobs.com/External/job/US-MD-Aberdeen-Proving-Ground/UAV-Swarm-Development-Intern---Summer-2024_292723-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/bcc18ba6-ce03-473f-8b87-ca21b0763f7f?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[Applied Materials](https://simplify.jobs/c/AMAT)**","Artificial Intelligence Intern","Santa Clara, CA","<a href="https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/Artificial-Intelligence-Intern_R2411364?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/081726c2-30e6-4111-9781-2703cbbac38c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[Acadian Asset Management](https://simplify.jobs/c/acadian-asset-management)**","Software Engineering Co-Op","Cambridge, MA","<a href="https://www.acadian-asset.com/careers/open-positions?gh_jid=4334491006&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/835e96a8-482e-413c-85fb-5981334a2d85?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 15"
"**[Uber](https://simplify.jobs/c/Uber)**","2024 Software Engineering Uberstar Internship - Mexico","SF","<a href="https://university-uber.icims.com/jobs/128684/job?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/5071a748-2f19-4f2a-ba2a-c36c8bf086a0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Rivian](https://simplify.jobs/c/Rivian)**","Construction Project Controls Analyst Intern","Monroe, GA","<a href="https://careers.rivian.com/jobs/16608?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/1867f144-f171-4083-8483-e9448fc4043c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Osmo](https://simplify.jobs/c/Osmo-AI)**","Psychophysics Analyst Intern","NYC","<a href="https://boards.greenhouse.io/osmo/jobs/4334319006?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2aa5cb67-ea93-4d0c-a940-c94fa220cf58?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"↳","Software Engineering Intern","Cambridge, MA","<a href="https://boards.greenhouse.io/osmo/jobs/4334108006?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2b6b4dc5-e451-43ec-bc17-413c07de33ff?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Mysten Labs](https://simplify.jobs/c/Mysten-Labs)**","Data Science Intern","United States","<a href="https://jobs.ashbyhq.com/mystenlabs/0faba161-4e0a-4b30-8166-40fcecd6a56d/application?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c2df24c1-d7dc-48c7-a1b4-a22fdb78f3b4?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Minitab](https://simplify.jobs/c/Minitab)**","Marketing Analytics Intern","Chicago, IL","<a href="https://boards.greenhouse.io/minitab/jobs/5892213003?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/d5ea66d6-fded-4bcc-bdec-aa0b30915377?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Genesis Therapeutics](https://simplify.jobs/c/Genesis-Thera)**","New Product Planning Intern - AI/Llms/Lifesciences","Remote in USA","<a href="https://jobs.lever.co/genesistherapeutics/bf397627-ac7c-4eff-bc78-10383f29af15/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/9d7e96a8-4310-4ebf-8eee-755130cc27dd?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Dynatrace](https://simplify.jobs/c/a4d4fb56-ae6f-4f27-8256-1695f57edd50)**","Product Specialist Internship","Detroit, MI","<a href="https://jobs.smartrecruiters.com/Dynatrace1/743999967467943?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/6a884825-1dcc-477a-b08e-e50c3cf22cbb?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Bank of Montreal (BMO)](https://simplify.jobs/c/BMO)**","2025 Summer Internship Diversity Scholarship – Intern - Global Markets Analyst - Generalist","Toronto, ON, Canada","<a href="https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/XMLNAME-2025-Summer-Internship-Diversity-Scholarship---Global-Markets-Analyst--Generalist--Intern_R240004135-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/72091095-f30f-44c2-a3f3-7a9d12b73d6c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"↳","2025 Summer Internship Diversity Scholarship – Intern - Global Markets Analyst - Quantitative/Developer","Toronto, ON, Canada","<a href="https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/XMLNAME-2025-Summer-Internship-Diversity-Scholarship---Global-Markets-Analyst--Quantitative-Developer--Intern_R240004142-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/0c1182c0-ae4d-405f-ba5e-e81a1d84aee8?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 14"
"**[Western Digital](https://simplify.jobs/c/Western-Digital)**","Summer 2024 – Software Engineering Intern - Firmware","San Jose, CA</br>Remote in USA","<a href="https://jobs.smartrecruiters.com/WesternDigital/743999967357649?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/12df5bc4-a768-4b89-aab1-35b93c9cbe81?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Weiss Asset Management](https://simplify.jobs/c/cb8d0ea4-93ea-4a6e-982e-c2e0394150cf)**","Quant Analyst Internship Summer 2025","Cambridge, MA","<a href="https://boards.greenhouse.io/weissassetmanagement/jobs/7115455002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c9c361ad-9bec-43e7-91a6-cec59df3fb0a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Uber](https://simplify.jobs/c/Uber)**","2024 Software Engineering Uberstar Internship - Mexico","Seattle, WA</br>SF</br>Sunnyvale, CA","<a href="https://www.uber.com/global/en/careers/list/128684/?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/eb794480-63fa-4f98-aadd-03777bbb0006?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Tarsus Pharamceuticals](https://simplify.jobs/c/Tarsus-Rx)**","Intern – IT Operations","Irvine, CA","<a href="https://careers.tarsusrx.com/careers.php?gh_jid=5081311004&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/589e7fcc-7853-434f-8b9b-abd4c7611b84?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[SharkNinja](https://simplify.jobs/c/SharkNinja)**","Fall – SQA Automation Engineer Co-op: July to December 2024","Needham, MA","<a href="https://www.sharkninja.com/careers-application/?gh_jid=4291654006&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/58a39d0a-526a-4b6a-a6ca-e5cc1bb4c02a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Lyft](https://simplify.jobs/c/Lyft)**","Software Engineering Intern - Montreal - Canada - Summer 2024","Montreal, QC, Canada","<a href="https://app.careerpuck.com/job-board/lyft/job/6962884002?gh_jid=6962884002&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/4819335d-577c-4e3d-9a4e-27ea6a6ec898?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Leidos](https://simplify.jobs/c/Leidos)**","Software Engineer Intern","Huntsville, AL","<a href="https://leidos.wd5.myworkdayjobs.com/External/job/Huntsville-AL/Software-Engineer-Intern_R-00128956?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e7f51006-3f37-4eb3-ba2d-7a9c28912fbf?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Legend Biotech](https://simplify.jobs/c/Legend-Biotech)**","Data Analytics/Business Intelligence Intern","Somerset County, NJ","<a href="https://boards.greenhouse.io/legendcareers/jobs/4366367005?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/3e8366fc-755f-44df-9ab3-ac9f2fb3d218?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Intel](https://simplify.jobs/c/Intel)**","AI Software Engineering Intern","Remote in USA","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/Virtual-US/AI-Software-Engineering-Intern_JR0257996?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/98caf19b-440e-4da4-875d-ce514599d0fb?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"↳","Design Technology Tool Enablement Engineer Intern","Hillsboro, OR","<a href="https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Design-Technology-Tool-Enablement-Engineer-Intern_JR0257900?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8da8a2fd-31d7-4e69-83a2-eb5ac174319b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Cars Commerce](https://simplify.jobs/c/b3bea695-719f-47e3-ad86-31561176aac0)**","Financial Planning and Reporting Internship","Chicago, IL","<a href="https://boards.greenhouse.io/carsdotcom/jobs/5702773?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/70649ff2-4f8e-4a99-b3ed-1cd8489344e3?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[CACI](https://simplify.jobs/c/CACI)**","Web Application Development Intern - Summer 2024","Remote in USA","<a href="https://caci.wd1.myworkdayjobs.com/External/job/Remote-Any-State/Web-Application-Development-Intern---Summer-2024_292616-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e856622c-df23-43ad-afde-f4b6bd0da5e7?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Boston Dynamics AI Institute](https://simplify.jobs/c/BDAI-Institute)**","Software Engineer Intern/Coop","Cambridge, MA","<a href="https://jobs.lever.co/bostondynamicsaiinstitute/402e9541-fea9-46c6-973c-549b9d4e9324/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/149d450b-a05c-4afb-9a9a-32e1d0a964c5?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"**[Bose](https://simplify.jobs/c/bose)**","IOS or Android Mobile Application Engineer Co-op","Framingham, MA","<a href="https://boseallaboutme.wd1.myworkdayjobs.com/en-US/Bose_Careers/job/US-MA---Framingham/iOS-or-Android-Mobile-Application-Engineer-Co-op_R26415?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/a5763e14-12b6-4699-9fb6-daa4eb52b683?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
"↳","DSP/ML Research Engineering Co-op","Framingham, MA","<a href="https://boseallaboutme.wd1.myworkdayjobs.com/en-US/Bose_Careers/job/US-MA---Framingham/DSP-ML-Research-Engineering-Co-op_R26417?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/054543aa-b7c4-4234-92a0-404307d5b467?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 13"
