Company,Role,Location,Date Posted,Application,link
Intel,Software Engineer – Undergraduate Intern,"<details><summary>**4 locations**</summary>Santa Clara, CA</br>Hillsboro, OR</br>Folsom, CA</br>Phoenix, AZ</details>",Feb 16,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Software-Engineer---Undergraduate-Intern_JR0258343?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/b46aaa26-3a78-4820-85d6-883c48e5e8ab?utm_source=GHList
Ascend Analytics,Energy Analyst Intern - Summer 2024,"Boulder, CO",Feb 16,https://boards.greenhouse.io/ascendanalytics/jobs/4371525005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/42a7a1a0-4cfc-4c8e-baaf-049e0189eee9?utm_source=GHList
Alcon,Summer 2024 – Information Technology Intern,"Fort Worth, TX",Feb 16,https://alcon.wd5.myworkdayjobs.com/careers_alcon/job/Fort-Worth-Texas/Summer-2024---Information-Technology-Intern_R-2024-30762?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/46174fc1-218c-48d6-9878-4e8216e9aa7b?utm_source=GHList
Wisk,Software Development Intern,"Mountain View, CA",Feb 15,https://jobs.lever.co/wisk/baae7c7b-8b59-4de1-9f2e-be9c4f4fc915/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/19076e32-156b-44f4-ba14-428a812eccd7?utm_source=GHList
Wisk,Software Development Intern/ Stagiaire en développement de logiciel,"Montreal, QC, Canada",Feb 15,https://jobs.lever.co/wisk/71453aff-be85-47dd-baac-14c6db943064/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/92d34811-0c36-478b-859f-4e5d78b5a59f?utm_source=GHList
Wisk,Simulation Software Intern,"Mountain View, CA",Feb 15,https://jobs.lever.co/wisk/0c238c16-e344-400f-b068-658d816171d9/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/71883b03-2e00-45e1-84e0-2859f6f82baa?utm_source=GHList
Wisk,Loads & Dynamics Engineer Intern,"Mountain View, CA",Feb 15,https://jobs.lever.co/wisk/67eb2c2c-4d8b-4bf5-930f-89aaee015347/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/4e65a3b2-3687-4474-97d0-792bb9b1a671?utm_source=GHList
Wisk,Flight Test Engineering Software Intern,"Mountain View, CA",Feb 15,https://jobs.lever.co/wisk/317a2673-65bd-420b-a11d-b2374471d86b/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f1acb99c-9e4f-49d8-8ea0-356d5a764dc0?utm_source=GHList
SharkNinja,Summer – App Developer Test Engineer Intern: May to August 2024,"Needham, MA",Feb 15,https://www.sharkninja.com/careers-application/?gh_jid=4333708006&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2e1aeda3-fc76-403f-9210-4984b8bd4a81?utm_source=GHList
Rivian,Engineering Intern - Software Systems,"Palo Alto, CA",Feb 15,https://careers.rivian.com/jobs/16057?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/43e43be3-189c-46cb-8d75-290ca09ba896?utm_source=GHList
Qualitest,AI & ML Intern,Remote in USA</br>United States,Feb 15,https://apply.workable.com/qualitest-1/j/F78DE615A7/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/071efdc3-11cd-4d4e-8c2c-2b5f36997326?utm_source=GHList
Qualitest,Software Developer Intern,Remote in USA</br>United States,Feb 15,https://apply.workable.com/qualitest-1/j/A3A0BF4583/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/32e65303-f179-4dce-8bc9-73fc54d0c38e?utm_source=GHList
Leidos,Software Engineering Intern,"Beavercreek, OH",Feb 15,https://leidos.wd5.myworkdayjobs.com/External/job/Beavercreek-OH/Software-Engineering-Intern_R-00129002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/4075ca38-c128-478a-a205-277f0f405836?utm_source=GHList
First American,Data Management Intern,"Orange, CA",Feb 15,https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/Data-Management-Intern_R043234-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/3538cb09-69e3-43f3-bb05-203d8bf6c434?utm_source=GHList
CannonDesign,Consulting Intern,Remote in USA,Feb 15,,https://simplify.jobs/p/8c31f624-93b3-490c-b0f4-2f8fac6171e0?utm_source=GHList
CACI,Software Engineer Intern - Summer 2024,Remote in USA,Feb 15,https://caci.wd1.myworkdayjobs.com/External/job/US-IN-Crane/Software-Engineer-Intern---Summer-2024_292742-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/cd49acf2-4004-4ab8-bef4-c1eca3a23db0?utm_source=GHList
CACI,UAV Swarm Development Intern - Summer 2024,"Aberdeen, MD",Feb 15,https://caci.wd1.myworkdayjobs.com/External/job/US-MD-Aberdeen-Proving-Ground/UAV-Swarm-Development-Intern---Summer-2024_292723-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/bcc18ba6-ce03-473f-8b87-ca21b0763f7f?utm_source=GHList
Applied Materials,Artificial Intelligence Intern,"Santa Clara, CA",Feb 15,https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/Artificial-Intelligence-Intern_R2411364?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/081726c2-30e6-4111-9781-2703cbbac38c?utm_source=GHList
Acadian Asset Management,Software Engineering Co-Op,"Cambridge, MA",Feb 15,https://www.acadian-asset.com/careers/open-positions?gh_jid=4334491006&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/835e96a8-482e-413c-85fb-5981334a2d85?utm_source=GHList
Uber,2024 Software Engineering Uberstar Internship - Mexico,SF,Feb 14,https://university-uber.icims.com/jobs/128684/job?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/5071a748-2f19-4f2a-ba2a-c36c8bf086a0?utm_source=GHList
Rivian,Construction Project Controls Analyst Intern,"Monroe, GA",Feb 14,https://careers.rivian.com/jobs/16608?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/1867f144-f171-4083-8483-e9448fc4043c?utm_source=GHList
Osmo,Psychophysics Analyst Intern,NYC,Feb 14,https://boards.greenhouse.io/osmo/jobs/4334319006?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2aa5cb67-ea93-4d0c-a940-c94fa220cf58?utm_source=GHList
Osmo,Software Engineering Intern,"Cambridge, MA",Feb 14,https://boards.greenhouse.io/osmo/jobs/4334108006?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/2b6b4dc5-e451-43ec-bc17-413c07de33ff?utm_source=GHList
Mysten Labs,Data Science Intern,United States,Feb 14,https://jobs.ashbyhq.com/mystenlabs/0faba161-4e0a-4b30-8166-40fcecd6a56d/application?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c2df24c1-d7dc-48c7-a1b4-a22fdb78f3b4?utm_source=GHList
Minitab,Marketing Analytics Intern,"Chicago, IL",Feb 14,https://boards.greenhouse.io/minitab/jobs/5892213003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/d5ea66d6-fded-4bcc-bdec-aa0b30915377?utm_source=GHList
Genesis Therapeutics,New Product Planning Intern - AI/Llms/Lifesciences,Remote in USA,Feb 14,https://jobs.lever.co/genesistherapeutics/bf397627-ac7c-4eff-bc78-10383f29af15/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/9d7e96a8-4310-4ebf-8eee-755130cc27dd?utm_source=GHList
Dynatrace,Product Specialist Internship,"Detroit, MI",Feb 14,https://jobs.smartrecruiters.com/Dynatrace1/743999967467943?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/6a884825-1dcc-477a-b08e-e50c3cf22cbb?utm_source=GHList
Bank of Montreal (BMO),2025 Summer Internship Diversity Scholarship – Intern - Global Markets Analyst - Generalist,"Toronto, ON, Canada",Feb 14,https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/XMLNAME-2025-Summer-Internship-Diversity-Scholarship---Global-Markets-Analyst--Generalist--Intern_R240004135-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/72091095-f30f-44c2-a3f3-7a9d12b73d6c?utm_source=GHList
Bank of Montreal (BMO),2025 Summer Internship Diversity Scholarship – Intern - Global Markets Analyst - Quantitative/Developer,"Toronto, ON, Canada",Feb 14,https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/XMLNAME-2025-Summer-Internship-Diversity-Scholarship---Global-Markets-Analyst--Quantitative-Developer--Intern_R240004142-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/0c1182c0-ae4d-405f-ba5e-e81a1d84aee8?utm_source=GHList
Western Digital,Summer 2024 – Software Engineering Intern - Firmware,"San Jose, CA</br>Remote in USA",Feb 13,https://jobs.smartrecruiters.com/WesternDigital/743999967357649?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/12df5bc4-a768-4b89-aab1-35b93c9cbe81?utm_source=GHList
Weiss Asset Management,Quant Analyst Internship Summer 2025,"Cambridge, MA",Feb 13,https://boards.greenhouse.io/weissassetmanagement/jobs/7115455002?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c9c361ad-9bec-43e7-91a6-cec59df3fb0a?utm_source=GHList
Uber,2024 Software Engineering Uberstar Internship - Mexico,"Seattle, WA</br>SF</br>Sunnyvale, CA",Feb 13,https://www.uber.com/global/en/careers/list/128684/?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/eb794480-63fa-4f98-aadd-03777bbb0006?utm_source=GHList
Tarsus Pharamceuticals,Intern – IT Operations,"Irvine, CA",Feb 13,https://careers.tarsusrx.com/careers.php?gh_jid=5081311004&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/589e7fcc-7853-434f-8b9b-abd4c7611b84?utm_source=GHList
SharkNinja,Fall – SQA Automation Engineer Co-op: July to December 2024,"Needham, MA",Feb 13,https://www.sharkninja.com/careers-application/?gh_jid=4291654006&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/58a39d0a-526a-4b6a-a6ca-e5cc1bb4c02a?utm_source=GHList
Lyft,Software Engineering Intern - Montreal - Canada - Summer 2024,"Montreal, QC, Canada",Feb 13,https://app.careerpuck.com/job-board/lyft/job/6962884002?gh_jid=6962884002&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/4819335d-577c-4e3d-9a4e-27ea6a6ec898?utm_source=GHList
Leidos,Software Engineer Intern,"Huntsville, AL",Feb 13,https://leidos.wd5.myworkdayjobs.com/External/job/Huntsville-AL/Software-Engineer-Intern_R-00128956?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e7f51006-3f37-4eb3-ba2d-7a9c28912fbf?utm_source=GHList
Legend Biotech,Data Analytics/Business Intelligence Intern,"Somerset County, NJ",Feb 13,https://boards.greenhouse.io/legendcareers/jobs/4366367005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/3e8366fc-755f-44df-9ab3-ac9f2fb3d218?utm_source=GHList
Intel,AI Software Engineering Intern,Remote in USA,Feb 13,https://intel.wd1.myworkdayjobs.com/en-us/external/job/Virtual-US/AI-Software-Engineering-Intern_JR0257996?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/98caf19b-440e-4da4-875d-ce514599d0fb?utm_source=GHList
Intel,Design Technology Tool Enablement Engineer Intern,"Hillsboro, OR",Feb 13,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Design-Technology-Tool-Enablement-Engineer-Intern_JR0257900?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/8da8a2fd-31d7-4e69-83a2-eb5ac174319b?utm_source=GHList
Cars Commerce,Financial Planning and Reporting Internship,"Chicago, IL",Feb 13,https://boards.greenhouse.io/carsdotcom/jobs/5702773?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/70649ff2-4f8e-4a99-b3ed-1cd8489344e3?utm_source=GHList
CACI,Web Application Development Intern - Summer 2024,Remote in USA,Feb 13,https://caci.wd1.myworkdayjobs.com/External/job/Remote-Any-State/Web-Application-Development-Intern---Summer-2024_292616-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e856622c-df23-43ad-afde-f4b6bd0da5e7?utm_source=GHList
Boston Dynamics AI Institute,Software Engineer Intern/Coop,"Cambridge, MA",Feb 13,https://jobs.lever.co/bostondynamicsaiinstitute/402e9541-fea9-46c6-973c-549b9d4e9324/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/149d450b-a05c-4afb-9a9a-32e1d0a964c5?utm_source=GHList
Bose,IOS or Android Mobile Application Engineer Co-op,"Framingham, MA",Feb 13,https://boseallaboutme.wd1.myworkdayjobs.com/en-US/Bose_Careers/job/US-MA---Framingham/iOS-or-Android-Mobile-Application-Engineer-Co-op_R26415?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a5763e14-12b6-4699-9fb6-daa4eb52b683?utm_source=GHList
Bose,DSP/ML Research Engineering Co-op,"Framingham, MA",Feb 13,https://boseallaboutme.wd1.myworkdayjobs.com/en-US/Bose_Careers/job/US-MA---Framingham/DSP-ML-Research-Engineering-Co-op_R26417?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/054543aa-b7c4-4234-92a0-404307d5b467?utm_source=GHList
Astranis,Software Developer – Intern - Network/Payload Software - Summer 2024,SF,Feb 13,https://boards.greenhouse.io/astranis/jobs/4333447006?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/32567b79-e4ee-4a71-bf95-11a392999a71?utm_source=GHList
Archer,Software Engineering Internship,"San Jose, CA",Feb 13,https://boards.greenhouse.io/archer56/jobs/5865344003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/1cb435b8-54f7-4864-ab71-b7a1bfd39e85?utm_source=GHList
Affinitiv,Software Engineer Intern - Summer 2024,Remote in USA,Feb 13,https://boards.greenhouse.io/affinitiv/jobs/5877552003?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/39b17269-95ea-4a8e-b60b-40422a5e9c15?utm_source=GHList
Activision-Blizzard,2024 US Summer Internship - Tech Lighting,"Canoga Park, LA",Feb 13,https://activision.wd1.myworkdayjobs.com/External/job/Woodland-Hills/Technical-Lighting-Artist_R022352?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/7f0c4fe5-09ab-4c7c-97bb-382980bb4e2d?utm_source=GHList
Western Digital,Summer 2024 – Software Engineering Intern - Firmware-RSS,"Irvine, CA",Feb 12,https://jobs.smartrecruiters.com/WesternDigital/743999967197963?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/4b68d6ed-4e1f-43cf-8760-4aaa5f58126e?utm_source=GHList
Salesforce,Summer 2024 Intern-Tableau Research,"Palo Alto, CA",Feb 12,https://salesforce.wd12.myworkdayjobs.com/en-us/External_Career_Site/job/California---Palo-Alto/Summer-2024-Intern--Tableau-Research_JR239500-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ef8a8467-7f13-4245-aba9-8a5fcd8b326b?utm_source=GHList
Fullscript,Co-op/Intern Ruby Developer - Summer 2024,"Ottawa, ON, Canada",Feb 12,https://jobs.lever.co/fullscript/2439d44b-de82-4eff-88d3-d0e50a454a94/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/de7dd715-e218-4fd6-85bc-ffbe9a8a288c?utm_source=GHList
Cerence,Été/Summer – / Software Developer Intern - Développeur logiciel - Stagiaire,"Montreal, QC, Canada",Feb 12,https://cerence.wd5.myworkdayjobs.com/Cerence/job/Montreal/XMLNAME--T-SUMMER--Dveloppeur-logiciel--Stagiaire----Software-Developer-Intern_R0005212?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/961e6d2e-ca7a-4fdb-942e-2ff8ca656af9?utm_source=GHList
Cars Commerce,Site Analytics Intern,"Chicago, IL",Feb 12,https://boards.greenhouse.io/carsdotcom/jobs/5675169?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ea5dd7f4-2e3f-4f4a-be5a-31b54c3d2e08?utm_source=GHList
Cars Commerce,IOS Mobile Engineering Intern,"Chicago, IL",Feb 12,https://boards.greenhouse.io/carsdotcom/jobs/5675097?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/e0daf146-f91f-4e15-8562-c8a145c9a074?utm_source=GHList
Airbnb,Engineering Apprentice - Connect Program,United States,Feb 12,https://careers.airbnb.com/positions/?gh_jid=5616862&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/00ab53f7-d09c-4c5b-aa86-4bd92d237cb0?utm_source=GHList
Airbnb,Product Manager Intern 🛂,"West Hollywood, CA",Feb 11,https://jobs.lever.co/matchgroup/fcb2a66e-d921-4baa-b1dc-e6dcbe496a07?utm_source=Simplify&ref=Simplify,
Airbnb,Software Engineer Internship 🛂,Remote,Feb 11,https://careers.roberthalf.com/global/en/job/JR-252388/Software-Engineer-Virtual-Internship?utm_source=Simplify&ref=Simplify,
Airbnb,Intern - Software Test Engineer (Summer 2024) 🛂,"New York, NY",Feb 11,https://careers-persistentsystems.icims.com/jobs/1899/intern---software-test-engineer-%28summer-2024%29/job?utm_source=Simplify&ref=Simplify,
Western Digital,Summer 2024 Software Engineering Intern - Rss Fw - Defect Management,"San Jose, CA",Feb 09,https://jobs.smartrecruiters.com/WesternDigital/743999966821518?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/b6861dc4-c69a-4aa2-9ca9-2e1edfa37ff3?utm_source=GHList
Western Digital,Intern – Software Engineering - Summer 2024,"San Jose, CA",Feb 09,https://jobs.smartrecruiters.com/WesternDigital/743999966823388?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/781a8766-ef00-45d4-b924-13e8a07c9680?utm_source=GHList
Western Digital,FPG ESS System Validation – Summer  Intern,"Irvine, CA",Feb 09,https://jobs.smartrecruiters.com/WesternDigital/743999966777803?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/46eecc14-eb42-4ee6-8f2c-2600565301d4?utm_source=GHList
Rivian,Engineering Intern – 7-Month Co-Op - Artificial Intelligence - Manufacturing,"Normal, IL",Feb 09,https://careers.rivian.com/jobs/16400?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/0265f853-c9fa-4702-b48b-43309bea6a1e?utm_source=GHList
Rivian,UIUC Research Park Intern - Data Engineering,"Urbana, IL",Feb 09,https://careers.rivian.com/jobs/16355?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/607269df-2157-4f03-b132-8dff4b001032?utm_source=GHList
Okta,Digital Success Intern - Summer 2024,"<details><summary>**5 locations**</summary>Washington, DC</br>SF</br>Remote in USA</br>Chicago, IL</br>Bellevue, WA</details>",Feb 09,https://www.okta.com/company/careers/opportunity/5664355?gh_jid=5664355&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f91d036e-269a-47e7-9de3-e4ea3bc62c2b?utm_source=GHList
Ascend Analytics,Software Engineering Intern,"Boulder, CO",Feb 09,https://boards.greenhouse.io/ascendanalytics/jobs/4369048005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c1d26f6a-2156-4e58-89b1-26ff48fbdce2?utm_source=GHList
Acorns,Software Engineer – Intern - Summer 2024,Remote in USA,Feb 09,https://boards.greenhouse.io/acorns/jobs/5693697?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/994578e2-a5ec-4b5b-9a50-cbd0e787fe65?utm_source=GHList
Visa,Data Engineer – Intern - Summer 2024,"Bellevue, WA",Feb 08,https://jobs.smartrecruiters.com/Visa/743999966574117?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/25675eb1-237e-4321-9a24-df9af1b53710?utm_source=GHList
Spot Freight,Software Developer Internship - Summer 2024,"Indianapolis, IN",Feb 08,https://spotinc.com/careers/applynow/?gh_jid=4332128006&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/6c85b267-9daf-4877-9b16-54f545796179?utm_source=GHList
Santander,Intern-3,"Miami, FL",Feb 08,https://santander.wd3.myworkdayjobs.com/SantanderCareers/job/Miami/Intern-3_Req1260912?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/43f1fcc4-1fdb-4868-ab24-9cbd01a2900f?utm_source=GHList
Okta,Technical Marketing Manager Intern - Summer 2024,United States,Feb 08,https://www.okta.com/company/careers/opportunity/5690281?gh_jid=5690281&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/ab377f08-f3bc-4980-b3e3-ac7f7a87523c?utm_source=GHList
Intel,Information Security Engineer – Undergraduate Intern,"<details><summary>**4 locations**</summary>Santa Clara, CA</br>Hillsboro, OR</br>Folsom, CA</br>Phoenix, AZ</details>",Feb 08,https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-California-Folsom/Information-Security-Engineer---Undergraduate-Intern_JR0257470-1?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/10c92da7-c130-488a-a07d-9eb0f8d16145?utm_source=GHList
Hatch IT,Modeling and Simulation – Cloud Engineering Internship - Data Analytics,"McLean, VA",Feb 08,https://jobs.lever.co/hatchit/d5a26194-1503-4c5a-8b0e-f2f8cbf98fa7/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/21db7165-acd6-41b7-9496-faf7aec4e236?utm_source=GHList
EquipmentShare,Intern: Data Scientist - Operations Research,"Columbia, MO",Feb 08,https://www.equipmentshare.com/careers/openings?gh_jid=5690414&utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f36ce65e-2526-4d6e-ad38-b1e698975af8?utm_source=GHList
Dow Jones,Summer 2024 Internship - Partnerships & Alliances,NYC,Feb 08,https://dowjones.wd1.myworkdayjobs.com/en-US/Dow_Jones_Career/job/NYC---1211-Ave-of-the-Americas/Summer-2024-Internship---Partnerships---Alliances_Job_Req_40758?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/057e082b-4c2b-4db2-b380-6d54203c442b?utm_source=GHList
Western Digital,Firmware Engineer Intern,"Milpitas, CA",Feb 07,https://jobs.smartrecruiters.com/WesternDigital/743999966267530?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/a25f234d-2c0b-49a7-9483-83749390d05f?utm_source=GHList
Western Digital,Intern – Firmware and Software Engineering,"Irvine, CA",Feb 07,https://jobs.smartrecruiters.com/WesternDigital/743999966265174?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/0c756a8d-6fd5-4c87-91e1-33351d682a53?utm_source=GHList
Western Digital,Intern – Firmware Engineering,"Irvine, CA",Feb 07,https://jobs.smartrecruiters.com/WesternDigital/743999966264934?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/9691577c-0264-4a70-be61-b35cb70f88d4?utm_source=GHList
Western Digital,Firmware Engineer Intern - Physical Storage,"Milpitas, CA",Feb 07,https://jobs.smartrecruiters.com/WesternDigital/743999966266973?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/131b9970-fc2e-4a01-ab85-fd68c85d842b?utm_source=GHList
Western Digital,Firmware Engineer Intern - Front End,"Milpitas, CA",Feb 07,https://jobs.smartrecruiters.com/WesternDigital/743999966264743?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/8ec1a303-d113-4872-8d96-c254dbfd3017?utm_source=GHList
Virtru,Security Engineering Intern,"Washington, DC",Feb 07,https://boards.greenhouse.io/virtru/jobs/4366493005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/cce7150b-9f46-4912-a0e8-be4e106e7f8d?utm_source=GHList
Virtru,SRE Intern,"Washington, DC",Feb 07,https://boards.greenhouse.io/virtru/jobs/4364621005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/303a000a-4e62-4c30-8579-7793c64e3183?utm_source=GHList
Virtru,Software Developer in Test – Intern - Sdet,"Washington, DC",Feb 07,https://boards.greenhouse.io/virtru/jobs/4362962005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/f91fe694-f057-4160-89b5-a4b643e47f27?utm_source=GHList
Virtru,Federal Engineering Intern,"Washington, DC",Feb 07,https://boards.greenhouse.io/virtru/jobs/4362917005?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/de46deb1-859f-4ee8-bb84-53b410626c9d?utm_source=GHList
Virtru,"C++ Software Engineer, Autopilot","Palo Alto, California",Feb 07,https://www.tesla.com/careers/search/job/internship-c-software-engineer-autopilot-summer-2024-217592?utm_source=Simplify&ref=Simplify,
Robotic Research,Software Engineering Intern - General,Remote in USA,Feb 07,https://jobs.lever.co/roboticresearch/338a609e-0b6e-4cff-b140-fa8881489228/apply?utm_source=Simplify&ref=Simplify,https://simplify.jobs/p/c03d61a1-6134-445c-b687-585589c9afdd?utm_source=GHList
